,BusinessName,DateOfInspection,FullAddress,HealthFacilityIDNumber,InspectionIDNumber,InspectionScore,InspectionType,Latitude,Longitude
0,BUTCHER & THE BOAR,09/25/2017,1121 HENNEPIN AVE,LIC50791,59767,92,Routine,44.97466,-93.27972
6,BUTCHER & THE BOAR,10/02/2018,1121 HENNEPIN AVE,LIC50791,226770,88,Routine,44.97466,-93.27972
14,BUTCHER & THE BOAR,11/06/2017,1121 HENNEPIN AVE,LIC50791,226771,100,Follow-Up,44.97466,-93.27972
15,BUTCHER & THE BOAR,10/03/2019,1121 HENNEPIN AVE,LIC50791,275315,78,Routine,44.97466,-93.27972
31,BUTCHER & THE BOAR,11/07/2018,1121 HENNEPIN AVE,LIC50791,275316,100,Follow-Up,44.97466,-93.27972
35,BUTCHER & THE BOAR,10/31/2019,1121 HENNEPIN AVE,LIC50791,332488,100,Follow-Up,44.97466,-93.27972
37,BAR LA GRASSA,08/10/2017,800 WASHINGTON AVE N #102,LIC32013,25271,92,Routine,44.98953,-93.27869
41,BAR LA GRASSA,08/07/2018,800 WASHINGTON AVE N #102,LIC32013,216880,82,Routine,44.98953,-93.27869
55,BAR LA GRASSA,08/21/2019,800 WASHINGTON AVE N #102,LIC32013,262750,98,Routine,44.98953,-93.27869
61,BAR LA GRASSA,09/12/2018,800 WASHINGTON AVE N #102,LIC32013,262751,94,Follow-Up,44.98953,-93.27869
67,SNACK BAR,11/22/2019,800 WASHINGTON AVE N #101,LIC377751,330776,80,Routine,44.98953,-93.27869
78,112 EATERY,08/31/2017,112 3RD ST N,LIC42962,44334,80,Routine,44.98266,-93.27156
102,112 EATERY,08/31/2018,112 3RD ST N,LIC42962,224448,84,Routine,44.98266,-93.27156
111,112 EATERY,10/06/2017,112 3RD ST N,LIC42962,224449,96,Follow-Up,44.98266,-93.27156
116,112 EATERY,08/30/2019,112 3RD ST N,LIC42962,270457,94,Routine,44.98266,-93.27156
121,112 EATERY,10/01/2018,112 3RD ST N,LIC42962,270458,100,Follow-Up,44.98266,-93.27156
122,GEORGE AND THE DRAGON,07/20/2017,813 50TH ST W,LIC27799,18072,92,Routine,44.91214,-93.29045
129,GEORGE AND THE DRAGON,07/27/2018,813 50TH ST W,LIC27799,208220,96,Routine,44.91214,-93.29045
132,GEORGE AND THE DRAGON,09/25/2017,813 50TH ST W,LIC27799,208221,96,Follow-Up,44.91214,-93.29045
134,GEORGE AND THE DRAGON,07/26/2019,813 50TH ST W,LIC27799,262113,96,Routine,44.91214,-93.29045
135,GEORGE AND THE DRAGON,09/14/2018,813 50TH ST W,LIC27799,262114,100,Follow-Up,44.91214,-93.29045
136,SPOON AND STABLE,03/01/2017,211 1ST ST N #150,LIC37781,36210,88,Routine,44.98531,-93.26965
148,SPOON AND STABLE,03/15/2018,211 1ST ST N #150,LIC37781,192049,88,Routine,44.98531,-93.26965
153,SPOON AND STABLE,05/12/2017,211 1ST ST N #150,LIC37781,192050,90,Follow-Up,44.98531,-93.26965
160,SPOON AND STABLE,06/14/2017,211 1ST ST N #150,LIC37781,199636,98,Follow-Up,44.98531,-93.26965
161,SPOON AND STABLE,03/28/2019,211 1ST ST N #150,LIC37781,246569,90,Routine,44.98531,-93.26965
166,SPOON AND STABLE,04/18/2018,211 1ST ST N #150,LIC37781,246570,96,Follow-Up,44.98531,-93.26965
168,SPOON AND STABLE,05/04/2019,211 1ST ST N #150,LIC37781,307455,100,Follow-Up,44.98531,-93.26965
169,HELLS KITCHEN,09/13/2017,80 9TH ST S,LIC32937,26951,88,Routine,44.97482,-93.27267
178,HELLS KITCHEN,09/12/2018,80 9TH ST S,LIC32937,226527,90,Routine,44.97482,-93.27267
185,HELLS KITCHEN,10/24/2017,80 9TH ST S,LIC32937,226528,96,Follow-Up,44.97482,-93.27267
189,HELLS KITCHEN,09/05/2019,80 9TH ST S,LIC32937,272128,72,Routine,44.97482,-93.27267
208,HELLS KITCHEN,10/09/2018,80 9TH ST S,LIC32937,272129,96,Follow-Up,44.97482,-93.27267
210,HELLS KITCHEN,10/03/2019,80 9TH ST S,LIC32937,328779,96,Follow-Up,44.97482,-93.27267
215,PIZZERIA LOLA,01/26/2017,5557 XERXES AVE S,LIC34010,29115,96,Routine,44.90186,-93.31846
226,PIZZERIA LOLA,02/15/2018,5557 XERXES AVE S,LIC34010,189626,100,Routine,44.90186,-93.31846
228,PIZZERIA LOLA,04/18/2017,5557 XERXES AVE S,LIC34010,190548,100,Follow-Up,44.90186,-93.31846
229,PIZZERIA LOLA,02/27/2019,5557 XERXES AVE S,LIC34010,243578,96,Routine,44.90186,-93.31846
233,BRASA ROTISSERIE,06/13/2017,600 HENNEPIN AVE E,LIC43523,45390,88,Routine,44.98947,-93.2513
241,BRASA ROTISSERIE,06/12/2018,600 HENNEPIN AVE E,LIC43523,202178,90,Routine,44.98947,-93.2513
250,BRASA ROTISSERIE,08/02/2017,600 HENNEPIN AVE E,LIC43523,202179,100,Follow-Up,44.98947,-93.2513
251,BRASA ROTISSERIE,06/12/2019,600 HENNEPIN AVE E,LIC43523,253126,90,Routine,44.98947,-93.2513
263,BRASA ROTISSERIE,07/26/2018,600 HENNEPIN AVE E,LIC43523,253127,90,Follow-Up,44.98947,-93.2513
268,BRASA ROTISSERIE,08/27/2018,600 HENNEPIN AVE E,LIC43523,258657,94,Follow-Up,44.98947,-93.2513
271,BRASA ROTISSERIE,07/25/2019,600 HENNEPIN AVE E,LIC43523,313774,92,Follow-Up,44.98947,-93.2513
277,RED COW,02/22/2017,208 1ST AVE N,LIC41669,190043,88,Routine,44.98377,-93.26972
285,RED COW,03/01/2018,208 1ST AVE N,LIC41669,191144,70,Routine,44.98377,-93.26972
298,RED COW,04/14/2017,208 1ST AVE N,LIC41669,191145,100,Follow-Up,44.98377,-93.26972
299,RED COW,03/27/2019,208 1ST AVE N,LIC41669,245665,90,Routine,44.98377,-93.26972
306,RED COW,04/09/2018,208 1ST AVE N,LIC41669,245666,90,Follow-Up,44.98377,-93.26972
309,RED COW,05/24/2019,208 1ST AVE N,LIC41669,308654,96,Follow-Up,44.98377,-93.26972
312,ZELO,07/12/2017,831 NICOLLET MALL,LIC34166,29393,96,Routine,44.97499,-93.27322
314,ZELO,07/12/2018,831 NICOLLET MALL,LIC34166,205115,84,Routine,44.97499,-93.27322
322,ZELO,07/09/2019,831 NICOLLET MALL,LIC34166,254520,92,Routine,44.97499,-93.27322
326,ZELO,08/15/2018,831 NICOLLET MALL,LIC34166,254521,92,Follow-Up,44.97499,-93.27322
329,HOLA AREPA,10/11/2017,3501 NICOLLET AVE,LIC36408,33158,100,Routine,44.93934,-93.27752
330,HOLA AREPA,10/23/2018,3501 NICOLLET AVE,LIC36408,228717,100,Routine,44.93934,-93.27752
331,HOLA AREPA,09/22/2019,3501 NICOLLET AVE,LIC36408,277236,100,Routine,44.93934,-93.27752
333,HOLA AREPA,04/25/2017,3501 NICOLLET AVE,LIC36411,33172,100,Routine,44.93934,-93.27752
341,HOLA AREPA,05/03/2018,3501 NICOLLET AVE,LIC36411,196890,76,Routine,44.93934,-93.27752
359,HOLA AREPA,05/16/2019,3501 NICOLLET AVE,LIC36411,249396,82,Routine,44.93934,-93.27752
372,HOLA AREPA,06/13/2018,3501 NICOLLET AVE,LIC36411,249397,96,Follow-Up,44.93934,-93.27752
374,HOLA AREPA,07/02/2019,3501 NICOLLET AVE,LIC36411,311517,98,Follow-Up,44.93934,-93.27752
378,SURLY BREWING,08/04/2017,520 MALCOLM AVE SE,LIC49909,57960,100,Routine,44.97287,-93.20943
379,SURLY BREWING,06/30/2018,520 MALCOLM AVE SE,LIC49909,212632,100,Routine,44.97287,-93.20943
380,SURLY BREWING,07/31/2019,520 MALCOLM AVE SE,LIC49909,253741,100,Routine,44.97287,-93.20943
381,CHIMBORAZO RESTAURANT,10/26/2017,2851 CENTRAL AVE NE,LIC32393,25865,94,Routine,45.02024,-93.24682
385,CHIMBORAZO RESTAURANT,10/25/2018,2851 CENTRAL AVE NE,LIC32393,231101,96,Routine,45.02024,-93.24682
390,CHIMBORAZO RESTAURANT,10/25/2019,2851 CENTRAL AVE NE,LIC32393,277634,100,Routine,45.02024,-93.24682
392,MARTINA,02/23/2018,4312 UPTON AVE S,LIC360908,235031,70,Routine,44.92421,-93.31519
415,MARTINA,09/03/2019,4312 UPTON AVE S,LIC360908,245048,96,Routine,44.92421,-93.31519
422,MARTINA,04/10/2018,4312 UPTON AVE S,LIC360908,245049,82,Follow-Up,44.92421,-93.31519
429,MARTINA,06/08/2018,4312 UPTON AVE S,LIC360908,247994,92,Follow-Up,44.92421,-93.31519
433,MARTINA,09/04/2018,4312 UPTON AVE S,LIC360908,252982,96,Follow-Up,44.92421,-93.31519
437,YOUNG JONI,04/25/2017,165 13TH AVE NE,LIC27273,192545,98,Routine,45.00121,-93.26666
443,YOUNG JONI,04/26/2018,165 13TH AVE NE,LIC27273,203673,94,Routine,45.00121,-93.26666
446,YOUNG JONI,04/24/2019,165 13TH AVE NE,LIC27273,248844,90,Routine,45.00121,-93.26666
452,YOUNG JONI,05/25/2018,165 13TH AVE NE,LIC27273,248845,96,Follow-Up,45.00121,-93.26666
455,YOUNG JONI,06/29/2018,165 13TH AVE NE,LIC27273,252670,96,Follow-Up,45.00121,-93.26666
457,YOUNG JONI,06/04/2019,165 13TH AVE NE,LIC27273,309405,100,Follow-Up,45.00121,-93.26666
458,LOTUS TO GO,08/09/2017,113 GRANT ST W,LIC40933,40716,92,Routine,44.9696,-93.27993
470,LOTUS TO GO,08/13/2018,113 GRANT ST W,LIC40933,216077,78,Routine,44.9696,-93.27993
483,LOTUS TO GO,10/24/2017,113 GRANT ST W,LIC40933,226978,96,Follow-Up,44.9696,-93.27993
489,LOTUS TO GO,11/08/2017,113 GRANT ST W,LIC40933,230974,96,Follow-Up,44.9696,-93.27993
492,LOTUS TO GO,08/13/2019,113 GRANT ST W,LIC40933,264421,74,Routine,44.9696,-93.27993
510,LOTUS TO GO,09/17/2018,113 GRANT ST W,LIC40933,264422,96,Follow-Up,44.9696,-93.27993
515,LOTUS TO GO,09/05/2019,113 GRANT ST W,LIC40933,324735,78,Follow-Up,44.9696,-93.27993
532,LOTUS TO GO,10/03/2019,113 GRANT ST W,LIC40933,328653,86,Follow-Up,44.9696,-93.27993
542,LOTUS TO GO,10/30/2019,113 GRANT ST W,LIC40933,331329,86,Follow-Up,44.9696,-93.27993
551,LOTUS TO GO,12/11/2019,113 GRANT ST W,LIC40933,335402,98,Follow-Up,44.9696,-93.27993
554,REVIVAL MPLS,03/28/2017,4257 NICOLLET AVE,LIC45575,49243,92,Routine,44.9252,-93.27754
565,REVIVAL MPLS,04/25/2018,4257 NICOLLET AVE,LIC45575,194099,92,Routine,44.9252,-93.27754
580,REVIVAL MPLS,05/08/2017,4257 NICOLLET AVE,LIC45575,194100,96,Follow-Up,44.9252,-93.27754
584,REVIVAL MPLS,05/02/2019,4257 NICOLLET AVE,LIC45575,248970,90,Routine,44.9252,-93.27754
596,REVIVAL MPLS,06/13/2018,4257 NICOLLET AVE,LIC45575,248971,100,Follow-Up,44.9252,-93.27754
603,REVIVAL MPLS,08/29/2018,4257 NICOLLET AVE,LIC45575,252582,98,Follow-Up,44.9252,-93.27754
612,REVIVAL MPLS,09/19/2018,4257 NICOLLET AVE,LIC45575,269217,100,Follow-Up,44.9252,-93.27754
618,REVIVAL MPLS,06/19/2019,4257 NICOLLET AVE,LIC45575,309898,100,Follow-Up,44.9252,-93.27754
621,RED COW,10/19/2017,3624 50TH ST W,LIC41665,229151,78,Routine,44.91272,-93.32613
641,RED COW,10/25/2018,3624 50TH ST W,LIC41665,230344,86,Routine,44.91272,-93.32613
650,RED COW,01/11/2018,3624 50TH ST W,LIC41665,230345,90,Follow-Up,44.91272,-93.32613
659,RED COW,02/27/2018,3624 50TH ST W,LIC41665,241026,96,Follow-Up,44.91272,-93.32613
663,RED COW,10/30/2019,3624 50TH ST W,LIC41665,277419,100,Routine,44.91272,-93.32613
667,RED COW,11/30/2018,3624 50TH ST W,LIC41665,277420,100,Follow-Up,44.91272,-93.32613
671,QUANG RESTAURANT,09/07/2017,2719 NICOLLET AVE,LIC37633,35893,82,Routine,44.95309,-93.27749
686,QUANG RESTAURANT,09/07/2018,2719 NICOLLET AVE,LIC37633,224822,100,Routine,44.95309,-93.27749
688,QUANG RESTAURANT,10/24/2017,2719 NICOLLET AVE,LIC37633,224823,100,Follow-Up,44.95309,-93.27749
691,QUANG RESTAURANT,09/06/2019,2719 NICOLLET AVE,LIC37633,271359,92,Routine,44.95309,-93.27749
696,MY HUONG KITCHEN,03/28/2017,2718 NICOLLET AVE #101B,LIC37281,35079,100,Routine,44.95308,-93.27841
707,MY HUONG KITCHEN,03/30/2018,2718 NICOLLET AVE #101B,LIC37281,194139,100,Routine,44.95308,-93.27841
713,MY HUONG KITCHEN,03/28/2019,2718 NICOLLET AVE #101B,LIC37281,247195,96,Routine,44.95308,-93.27841
720,TRAVAIL,04/25/2019,1930 HENNEPIN AVE,LIC374164,291949,84,Routine,44.96329,-93.2914
729,BRODERS CUCINA ITALIANA,05/03/2017,2308 50TH ST W,LIC47388,52412,88,Routine,44.91261,-93.30907
745,BRODERS CUCINA ITALIANA,05/18/2018,2308 50TH ST W,LIC47388,198017,92,Routine,44.91261,-93.30907
760,BRODERS CUCINA ITALIANA,06/21/2017,2308 50TH ST W,LIC47388,198018,92,Follow-Up,44.91261,-93.30907
765,BRODERS CUCINA ITALIANA,08/15/2017,2308 50TH ST W,LIC47388,202059,100,Follow-Up,44.91261,-93.30907
768,BRODERS CUCINA ITALIANA,05/17/2019,2308 50TH ST W,LIC47388,251253,94,Routine,44.91261,-93.30907
781,BRODERS CUCINA ITALIANA,07/03/2018,2308 50TH ST W,LIC47388,251254,96,Follow-Up,44.91261,-93.30907
786,BRODERS' PASTA BAR,05/15/2017,5000 PENN AVE S,LIC47391,52431,90,Routine,44.91209,-93.30903
794,BRODERS' PASTA BAR,05/18/2018,5000 PENN AVE S,LIC47391,199689,94,Routine,44.91209,-93.30903
801,BRODERS' PASTA BAR,06/21/2017,5000 PENN AVE S,LIC47391,199690,96,Follow-Up,44.91209,-93.30903
806,BRODERS' PASTA BAR,05/17/2019,5000 PENN AVE S,LIC47391,251247,96,Routine,44.91209,-93.30903
813,BRODERS' PASTA BAR,07/03/2018,5000 PENN AVE S,LIC47391,251248,100,Follow-Up,44.91209,-93.30903
816,BRODERS TERZO,05/15/2017,2221 50TH ST W,LIC47397,52443,88,Routine,44.91216,-93.30845
826,BRODERS TERZO,05/18/2018,2221 50TH ST W,LIC47397,199691,94,Routine,44.91216,-93.30845
832,BRODERS TERZO,06/21/2017,2221 50TH ST W,LIC47397,199692,100,Follow-Up,44.91216,-93.30845
836,BRODERS TERZO,05/17/2019,2221 50TH ST W,LIC47397,251251,96,Routine,44.91216,-93.30845
842,BRODERS TERZO,07/03/2018,2221 50TH ST W,LIC47397,251252,94,Follow-Up,44.91216,-93.30845
846,BRODERS TERZO,09/06/2018,2221 50TH ST W,LIC47397,254692,96,Follow-Up,44.91216,-93.30845
848,RED RABBIT,04/25/2018,201 WASHINGTON AVE N,LIC41687,247353,78,Routine,44.98359,-93.2719
863,RED RABBIT,05/09/2019,201 WASHINGTON AVE N,LIC41687,248895,100,Routine,44.98359,-93.2719
868,RED RABBIT,06/07/2018,201 WASHINGTON AVE N,LIC41687,248896,92,Follow-Up,44.98359,-93.2719
874,RED RABBIT,07/05/2018,201 WASHINGTON AVE N,LIC41687,252146,94,Follow-Up,44.98359,-93.2719
878,CAFE & BAR LURCAT,11/29/2017,1624 HARMON PL,LIC50908,124233,92,Routine,44.97148,-93.28574
886,CAFE & BAR LURCAT,03/03/2017,1624 HARMON PL,LIC50908,124234,100,Follow-Up,44.97148,-93.28574
892,CAFE & BAR LURCAT,12/17/2018,1624 HARMON PL,LIC50908,234250,96,Routine,44.97148,-93.28574
897,CAFE & BAR LURCAT,01/03/2018,1624 HARMON PL,LIC50908,234251,100,Follow-Up,44.97148,-93.28574
898,CAFE & BAR LURCAT,12/18/2019,1624 HARMON PL,LIC50908,285065,100,Routine,44.97148,-93.28574
907,GREEN AND THE GRAIN,12/19/2017,800 LASALLE AVE #213,LIC28798,180221,96,Routine,44.97641,-93.27513
916,GREEN AND THE GRAIN,12/26/2018,800 LASALLE AVE #213,LIC28798,236634,96,Routine,44.97641,-93.27513
918,GREEN AND THE GRAIN,02/12/2018,800 LASALLE AVE #213,LIC28798,236635,98,Follow-Up,44.97641,-93.27513
922,GREEN AND THE GRAIN,12/23/2019,800 LASALLE AVE #213,LIC28798,286273,100,Routine,44.97641,-93.27513
926,STATE THEATRE,11/15/2017,805 HENNEPIN AVE,LIC41828,42550,96,Routine,44.97662,-93.27574
931,STATE THEATRE,11/22/2019,805 HENNEPIN AVE,LIC41828,233384,98,Routine,44.97662,-93.27574
935,RESTAURANT ALMA,04/23/2019,528 UNIVERSITY AVE SE,LIC377218,308979,82,Routine,44.98373,-93.24814
945,RESTAURANT ALMA,07/10/2019,528 UNIVERSITY AVE SE,LIC377218,314779,96,Follow-Up,44.98373,-93.24814
947,VICTORS 1959 CAFE,10/26/2017,3756 GRAND AVE S,LIC46435,50819,80,Routine,44.93423,-93.28462
959,VICTORS 1959 CAFE,10/24/2018,3756 GRAND AVE S,LIC46435,232203,96,Routine,44.93423,-93.28462
963,VICTORS 1959 CAFE,12/19/2017,3756 GRAND AVE S,LIC46435,232204,100,Follow-Up,44.93423,-93.28462
965,VICTORS 1959 CAFE,11/14/2019,3756 GRAND AVE S,LIC46435,277119,94,Routine,44.93423,-93.28462
972,SMACK SHACK,05/23/2017,603 WASHINGTON AVE N,LIC34105,29298,100,Follow-Up,44.98694,-93.27658
977,SMACK SHACK,06/29/2017,603 WASHINGTON AVE N,LIC34105,29299,100,Routine,44.98694,-93.27658
982,SMACK SHACK,04/24/2017,603 WASHINGTON AVE N,LIC34109,29317,64,Routine,44.98694,-93.27658
1014,SMACK SHACK,04/19/2018,603 WASHINGTON AVE N,LIC34109,196786,86,Routine,44.98694,-93.27658
1026,SMACK SHACK,05/23/2017,603 WASHINGTON AVE N,LIC34109,196787,86,Follow-Up,44.98694,-93.27658
1035,SMACK SHACK,06/29/2017,603 WASHINGTON AVE N,LIC34109,199900,100,Follow-Up,44.98694,-93.27658
1039,SMACK SHACK,06/06/2019,603 WASHINGTON AVE N,LIC34109,248293,84,Routine,44.98694,-93.27658
